Community Addiction and Mental Health Services Of Haldimand And Norfolk - Substance Abuse Counselling at Community Addiction and Mental Health Services of Haldimand and Norfolk - West Street Clinic,Community Addiction and Mental Health Services of Haldimand and Norfolk - West Street Clinic - Substance Abuse Counselling,Community Addiction and Mental Health Services Of Haldimand And Norfolk,216 West Street,Simcoe,N3Y 1S8,Canada,Not Available,519-426-3257,Not Available,http://www.camhs.ca/,Individuals in the Haldimand-Norfolk region.,Free,Self Referral,6/10/2014 10:59:00,Substance Use Disorder Counselling,Mon 8:30am - 4:30pm Tue 8:30am - 4:30pm Wed 8:30am - 4:30pm Thu 8:30am - 4:30pm Fri 8:30am - 4:30pm,,,
Rebound - SAFE Program at Sarnia-Lambton Rebound - Sarnia,Rebound - SAFE Program - Sarnia/Lambton,Sarnia-Lambton Rebound,10 Lorne Crescent,Sarnia,N7S 1H8,Canada,Not Available,Not Available,info@reboundonline.com,http://www.reboundonline.com/,Youth 14-17.,Nominal Fee,Self Referral,5/11/2014 11:40:00,Substance Use Disorder Counselling,Not Available,,,
York Support Services Network - Mental Health Services at York Support Services Network - South Office,York Support Services Network - Mental Health - South Office,York Support Services Network,50 McIntosh Drive,Markham,L3R 9T3,Canada,Not Available,Not Available,Not Available,https://www.yssn.ca/,Offers services to youth 16 and older in York region who have been diagnosed with a serious mental illness.,Free,Self Referral,28/04/2014 15:16,Community Mental Health Agencies Individual Counselling,Mon 8:30am - 4:30pm Tue 8:30am - 4:30pm Wed 8:30am - 4:30pm Thu 8:30am - 4:30pm Fri 8:30am - 4:30pm,,,
York Support Services Network - Mental Health Services at York Support Services Network - Central Office,York Support Services Network - Mental Health Services - Central Office,York Support Services Network,25 Millard Avenue West,Newmarket,L3Y 7R6,Canada,Not Available,Not Available,Not Available,http://www.yssn.ca/,Offers services to youth 16 and older in York region who have been diagnosed with a serious mental illness.,Free,Self Referral,28/04/2014 15:05,Community Mental Health Agencies Individual Counselling,Mon 8:30am - 4:30pm Tue 8:30am - 4:30pm Wed 8:30am - 4:30pm Thu 8:30am - 4:30pm Fri 8:30am - 4:30pm,,,
Rebound - SAFE Program at Sarnia-Lambton Rebound - Forest,Rebound - SAFE Program - Forest,Sarnia-Lambton Rebound,59 King Street West,Forest,N0N 1J0,Canada,Not Available,Not Available,info@reboundonline.com,http://www.reboundonline.com/,Youth 14-17.,Nominal Fee,Self Referral,5/11/2014 10:22:00,Substance Use Disorder Counselling,Not Available,,,
Rebound - SAFE Program at Sarnia-Lambton Rebound - Petrolia,Rebound - SAFE Program - Petrolia,Sarnia-Lambton Rebound,411 Wingfield Street,Petrolia,N0N 1R0,Canada,Not Available,Not Available,info@reboundonline.com,http://www.reboundonline.com/,Youth 14-17.,Nominal Fee,Self Referral,5/11/2014 10:47:00,Substance Use Disorder Counselling,Not Available,,,
Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic at Wellington-Dufferin-Guelph Public Health Unit - Fergus,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic - Fergus,Wellington-Dufferin-Guelph Public Health,Not Available,Palmerston,Not Available,Canada,Closed from 12:00pm - 1:00pm,519-846-0323,info@wdgpublichealth.ca,http://www.wdgpublichealth.ca,Open to all,Free fee for contraception,Appointment Required and self referral,9/9/2013 11:08:00,Sexual Health Centres,Mon 11:00am - 5:30pm Wed 10:00am - 3:00pm,,,
Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic at Wellington-Dufferin-Guelph Public Health Unit - Mount Forest,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic - Mount Forest,Wellington-Dufferin-Guelph Public Health,Not Available,Palmerston,Not Available,Canada,Call in advance for other hours Closed for lunch from 12:00pm - 1:00pm,519-323-9312,info@wdgpublichealth.ca,http://www.wdgpublichealth.ca,Varies by service,Free cost for contraception,Appointment Required,9/9/2013 11:08:00,Sexual Health Centres,Thu 9:00am - 4:00pm,,,
Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic at Wellington-Dufferin-Guelph Public Health Unit - Orangeville,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic - Orangeville,Wellington-Dufferin-Guelph Public Health,180 Broadway Avenue,Orangeville,L9W 1K3,Canada,Some evenings may be available,519-942-0470,info@wdgpublichealth.ca,http://www.wdgpublichealth.ca,Open to all<br />Birth control is for 24yrs and younger only,Free services free or low-cost birth control,Appointment Required and self referral,9/9/2013 11:08:00,Sexual Health Centres,Mon 8:30am - 4:30pm Tue 12:00pm - 6:00pm Wed 11:00am - 4:30pm Fri 11:00am - 4:30pm,,,
Bereaved Families of Ontario - Grief and Loss Support Group for Children at Bereaved Families of Ontario - Cornwall,Bereaved Families of Ontario - Grief and Loss Support Group for Children - Cornwall,Bereaved Families of Ontario,216 Montreal Road,Cornwall,K6H 1B4,Canada,Contact for hours of operation.,613-936-1682,bfcornwall@on.aibn.com,http://bfocornwall.ca/,Children who have experienced a loss.,Free,Registration Form,10/2/2014 15:15:00,Grief and Loss Counselling,Not Available,,,
