Northumberland Community Counselling Centre - Community Counselling Program at Northumberland Community Counselling Centre - Cobourg,Northumberland Community Counselling Centre,12371665,12 Elgin Street East,905-372-6318,http://www.northumberlandccc.com,Patrica Hollingsworth,Executive Director,pat.hollingsworth@northumberlandccc.com,905-372-6318
Algoma Family Services - AFS Intake and Assessment Services at Algoma Family Services - North Algoma Office,Algoma Family Services,12368083,26 Ste. Marie Road,705-856-2252,http://www.algomafamilyservices.org,Marsha Ledyit,Clinical Supervisor,,705-848-0790 X28
Hands - Child and Youth Mental Health - Counselling Services at Hands - North Bay,Hands,12368091,391 Oak Street East,705-476-2293,http://www.thefamilyhelpnetwork.ca/child-youth-mental-health,Jeffery Hawkins,Executive Director,jhawkins@handstfhn.ca,705-476-2293
North of Superior Counselling Programs - Child and Youth Mental Health and Addictions Program at North of Superior Counselling Programs - Geraldton,North of Superior Counselling Programs,18120666,423 Main Street,807-854-1321 ,http://www.nosp.on.ca/,Shannon Cormier,Executive Director,shannon.cormier@nosp.on.ca,807-824-2867
North of Superior Counselling Programs - Child and Youth Mental Health and Addictions Program at North of Superior Counselling Programs - Armstrong,North of Superior Counselling Programs,18120666,111 Queen Street,807-887-2632 ,http://www.nosp.on.ca,,,,
Hong Fook Mental Health Association - Family Initiative at Hong Fook Mental Health Association - North York Branch,Hong Fook Mental Health Association,12370715,1751 Sheppard Avenue East,416-493-4242,http://www.hongfook.ca/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services - Timmins,North Eastern Ontario Family and Children's Services,12369400,707 Ross Avenue East,705-360-7100,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services - New Liskeard,North Eastern Ontario Family and Children's Services,12369400,25 Paget Street,700-647-1200,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services - Kirkland Lake,North Eastern Ontario Family and Children's Services,12369400,6 Tweedsmuir Road,705-567-9201,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services - Kapuskasing,North Eastern Ontario Family and Children's Services,12369400,29 Mundy Avenue,705-335-2445,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services - Iroquois Falls,North Eastern Ontario Family and Children's Services,12369400,457 Zealand Avenue,705-232-7000,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services - Hearst,North Eastern Ontario Family and Children's Services,12369400,909 George Street,705-372-2445,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services - Englehart,North Eastern Ontario Family and Children's Services,12369400,40 Third Street,705-544-5437,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services - Cochrane,North Eastern Ontario Family and Children's Services,12369400,451 Chalmers Avenue,705-272-2449,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services -  Timmins Wilcox,North Eastern Ontario Family and Children's Services,12369400,457 Wilcox Street,705-360-7100,http://www.neofacs.org/,,,,
North Eastern Ontario Family and Children's Services - Child & Family Intervention Programs at North Eastern Ontario Family and Children's Services -  Smooth Rock Falls,North Eastern Ontario Family and Children's Services,12369400,105 2nd Avenue,705-360-7100,http://www.neofacs.org/,,,,
Family Service Toronto - Counselling Services at Family Service Toronto - Etobicoke North,Family Service Toronto,12370283,8 Taber Road,416-595-9618,https://familyservicetoronto.org/our-services/programs-and-services/counselling/,,,,
Family Service Toronto - Counselling Services at Family Service Toronto - North York,Family Service Toronto,12370283,700 Lawrence Avenue West,416-595-9618,https://familyservicetoronto.org/our-services/programs-and-services/counselling/,,,,
Catholic Family Services - Counselling at Catholic Family Services - North Toronto Office,Catholic Family Services,12369269,5799 Yonge Street,,http://www.cfstoronto.com/client/cfs/cfs_lp4w_lnd_webstation.nsf/index.html?readform,,,,
North of Superior Counselling Programs - Child and Youth Mental Health and Addictions Program at North of Superior Counselling Programs - Marathon,North of Superior Counselling Programs,18120666,51 Peninsula Road,807-229-0607,http://www.nosp.on.ca/,,,,
North of Superior Counselling Programs - Child and Youth Mental Health and Addictions Program at North of Superior Counselling Programs - Manitouwadge,North of Superior Counselling Programs,18120666,1 Health Care Crescent,807-826-4517,http://www.nosp.on.ca/,,,,
North of Superior Counselling Programs - Child and Youth Mental Health and Addictions Program at North of Superior Counselling Programs - Longlac,North of Superior Counselling Programs,18120666,121 Forestry Road,807-876-2235,http://www.nosp.on.ca/,,,,
